DATASET_TEXT
SEPARATOR COMMA
DATASET_LABEL,family-text
COLOR,#000000
DATA
Pseudovirgaria_hyperparasitica,Acrospermaceae,-1,#3e00cc,bold,1,0
Aulographum_hederae,Aulographaceae,-1,#696db5,bold,1,0
Rhizodiscina_lignyota,Rhizodiscinaceae,-1,#b5ae2d,bold,1,0
Aplosporella_prunicola,Aplosporellaceae,-1,#c8b31c,bold,1,0
Botryosphaeria_dothidea,Botryosphaeriaceae,-1,#08bf3b,bold,1,0
Diplodia_corticola,Botryosphaeriaceae,-1,#08bf3b,bold,1,0
Diplodia_seriata,Botryosphaeriaceae,-1,#08bf3b,bold,1,0
Lasiodiplodia_theobromae,Botryosphaeriaceae,-1,#08bf3b,bold,1,0
Macrophomina_phaseolina,Botryosphaeriaceae,-1,#08bf3b,bold,1,0
Neofusicoccum_parvum,Botryosphaeriaceae,-1,#08bf3b,bold,1,0
Saccharata_proteae,Saccharataceae,-1,#39cf30,bold,1,0
Polychaeton_citri,Capnodiaceae,-1,#e86070,bold,1,0
Piedraia_hortae,Piedraiaceae,-1,#8d0bdb,bold,1,0
Rachicladosporium_antarcticum,Cladosporiaceae,-1,#484414,bold,1,0
Rachicladosporium_sp._CCFEE_5018,Cladosporiaceae,-1,#484414,bold,1,0
Aureobasidium_melanogenum,Saccotheciaceae,-1,#3aa599,bold,1,0
Aureobasidium_melanogenum,Saccotheciaceae,-1,#3aa599,bold,1,0
Aureobasidium_mustum,Saccotheciaceae,-1,#3aa599,bold,1,0
Aureobasidium_namibiae,Saccotheciaceae,-1,#3aa599,bold,1,0
Aureobasidium_pullulans,Saccotheciaceae,-1,#3aa599,bold,1,0
Aureobasidium_subglaciale,Saccotheciaceae,-1,#3aa599,bold,1,0
Aureobasidium_uvarum,Saccotheciaceae,-1,#3aa599,bold,1,0
Aureobasidium_vineae,Saccotheciaceae,-1,#3aa599,bold,1,0
Eremomyces_bilateralis,Eremomycetaceae,-1,#31c68b,bold,1,0
Lineolata_rhizophorae,Lineolataceae,-1,#09cfa1,bold,1,0
Microthyrium_microscopicum,Microthyriaceae,-1,#d64131,bold,1,0
Dissoconium_aciculare,Dissoconiaceae,-1,#12aa29,bold,1,0
Cercospora_berteroae,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Cercospora_zeae-maydis,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Dothistroma_septosporum,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Fulvia_fulva,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Pseudocercospora_eumusae,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Pseudocercospora_fijiensis,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Pseudocercospora_fuligena,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Pseudocercospora_musae,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Ramularia_collo-cygni,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Septoria_linicola,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Sphaerulina_musiva,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Zasmidium_cellare,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Zymoseptoria_brevis,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Zymoseptoria_tritici,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Zymoseptoria_tritici,Mycosphaerellaceae,-1,#f9506f,bold,1,0
Acidomyces_sp._'richmondensis',Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Baudoinia_panamericana,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Friedmanniomyces_endolithicus,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Friedmanniomyces_simplex,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Hortaea_werneckii,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Hortaea_werneckii,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Neohortaea_acidophila,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Salinomyces_thailandica,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Teratosphaeria_nubilosa,Teratosphaeriaceae,-1,#ab8ffc,bold,1,0
Elsinoe_australis,Elsinoaceae,-1,#8de6e2,bold,1,0
Elsinoe_batatas,Elsinoaceae,-1,#8de6e2,bold,1,0
Sphaceloma_murrayae,Elsinoaceae,-1,#8de6e2,bold,1,0
Myriangium_duriaei,Myriangiaceae,-1,#8e3802,bold,1,0
Lepidopterella_palustris,Argynnaceae,-1,#0e9a25,bold,1,0
Lophium_mytilinum,Mytilinidiaceae,-1,#75ba0b,bold,1,0
Mytilinidion_resinicola,Mytilinidiaceae,-1,#75ba0b,bold,1,0
Glonium_stellatum,Gloniaceae,-1,#66eeb5,bold,1,0
Coniosporium_apollinis,nan,-1,#847590,bold,1,0
Cryomyces_minteri,nan,-1,#847590,bold,1,0
Peltaster_fructicola,nan,-1,#847590,bold,1,0
Zopfia_rhizophila,Zopfiaceae,-1,#2fafb6,bold,1,0
Patellaria_atrata,Patellariaceae,-1,#956204,bold,1,0
Trichodelitschia_bisporula,Phaeotrichaceae,-1,#33e7e0,bold,1,0
Amniculicola_lignicola,Amniculicolaceae,-1,#398c69,bold,1,0
Corynespora_cassiicola,Corynesporascaceae,-1,#e14026,bold,1,0
Cucurbitaria_berberidis,Cucurbitariaceae,-1,#50c5ae,bold,1,0
Pyrenochaeta_sp._DS3sAY3a,Cucurbitariaceae,-1,#50c5ae,bold,1,0
Pyrenochaeta_sp._MPI-SDFR-AT-0127,Cucurbitariaceae,-1,#50c5ae,bold,1,0
Delitschia_confertaspora,Delitschiaceae,-1,#30f1d1,bold,1,0
Clathrospora_elynae,Diademaceae,-1,#e8f763,bold,1,0
Ascochyta_lentis,Didymellaceae,-1,#52d41d,bold,1,0
Ascochyta_rabiei,Didymellaceae,-1,#52d41d,bold,1,0
Didymella_exigua,Didymellaceae,-1,#52d41d,bold,1,0
Didymella_heteroderae,Didymellaceae,-1,#52d41d,bold,1,0
Epicoccum_nigrum,Didymellaceae,-1,#52d41d,bold,1,0
Bimuria_novae-zelandiae,Didymosphaeriaceae,-1,#ecb8ac,bold,1,0
Didymosphaeria_enalia,Didymosphaeriaceae,-1,#ecb8ac,bold,1,0
Karstenula_rhodostoma,Didymosphaeriaceae,-1,#ecb8ac,bold,1,0
Paraphaeosphaeria_minitans,Didymosphaeriaceae,-1,#ecb8ac,bold,1,0
Paraphaeosphaeria_sporulosa,Didymosphaeriaceae,-1,#ecb8ac,bold,1,0
Dothidotthia_symphoricarpi,Dothidotthiaceae,-1,#bc6d7d,bold,1,0
Lentithecium_fluviatile,Lentitheciaceae,-1,#d169f9,bold,1,0
Ampelomyces_quisqualis,Leptosphaeriaceae,-1,#81cea3,bold,1,0
Leptosphaeria_maculans,Leptosphaeriaceae,-1,#81cea3,bold,1,0
Ophiobolus_disseminans,Leptosphaeriaceae,-1,#81cea3,bold,1,0
Plenodomus_tracheiphilus,Leptosphaeriaceae,-1,#81cea3,bold,1,0
Clohesyomyces_aquaticus,Lindgomycetaceae,-1,#b5f116,bold,1,0
Lophiostoma_macrostomum,Lophiostomataceae,-1,#64fc8e,bold,1,0
Lophiotrema_nucula,Lophiotremataceae,-1,#830a01,bold,1,0
Byssothecium_circinans,Massarinaceae,-1,#744d25,bold,1,0
Massarina_eburnea,Massarinaceae,-1,#744d25,bold,1,0
Stagonospora_sp._SRC1lsM3a,Massarinaceae,-1,#744d25,bold,1,0
Melanomma_pulvis-pyrius,Melanommataceae,-1,#6c5dbc,bold,1,0
Aaosphaeria_arxii,nan,-1,#847590,bold,1,0
Massariosphaeria_phaeospora,nan,-1,#847590,bold,1,0
